,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,country
0,0,342,27,0,PRT
1,0,737,27,0,PRT
2,0,7,27,0,GBR
3,0,13,27,0,GBR
4,0,14,27,0,GBR
5,0,14,27,0,GBR
6,0,0,27,0,PRT
7,0,9,27,0,PRT
8,1,85,27,0,PRT
9,1,75,27,0,PRT
10,1,23,27,0,PRT
11,0,35,27,0,PRT
12,0,68,27,0,USA
13,0,18,27,0,ESP
14,0,37,27,0,PRT
15,0,68,27,0,IRL
16,0,37,27,0,PRT
17,0,12,27,0,IRL
18,0,0,27,0,FRA
19,0,7,27,0,GBR
20,0,37,27,1,GBR
21,0,72,27,2,PRT
22,0,72,27,2,PRT
23,0,72,27,2,PRT
24,0,127,27,2,GBR
25,0,78,27,2,PRT
26,0,48,27,2,IRL
27,1,60,27,2,PRT
28,0,77,27,2,PRT
29,0,99,27,2,PRT
30,0,118,27,4,
31,0,95,27,4,GBR
32,1,96,27,2,PRT
33,0,69,27,2,IRL
34,1,45,27,1,PRT
35,1,40,27,1,PRT
36,0,15,27,1,ESP
37,0,36,27,1,PRT
38,1,43,27,1,PRT
39,0,70,27,2,ROU
40,1,45,27,2,PRT
41,0,45,27,2,IRL
42,0,16,27,2,ESP
43,0,70,27,2,ROU
44,0,107,27,2,PRT
45,1,47,27,2,PRT
46,0,96,27,2,ESP
47,0,113,27,2,NOR
48,0,90,27,2,GBR
49,0,50,27,2,IRL
50,0,113,27,2,NOR
51,0,93,27,3,IRL
52,0,76,27,4,OMN
53,0,3,27,0,ESP
54,0,1,27,0,ARG
55,0,1,27,0,ESP
56,0,0,27,0,PRT
57,0,0,27,0,PRT
58,0,0,27,0,PRT
59,0,14,27,0,USA
60,0,10,27,0,PRT
61,0,5,27,0,IRL
62,0,17,27,0,ESP
63,0,93,27,0,IRL
64,1,3,27,0,PRT
65,0,10,27,0,USA
66,0,3,27,0,ESP
67,0,51,27,0,POL
68,1,71,27,0,PRT
69,1,63,27,0,PRT
70,1,62,27,0,PRT
71,1,101,27,0,PRT
72,0,2,27,0,PRT
73,0,15,27,0,ESP
74,1,51,27,0,PRT
75,0,3,27,1,ESP
76,1,48,27,1,PRT
77,0,2,27,2,PRT
78,0,72,27,2,DEU
79,0,81,27,2,PRT
80,0,99,27,2,FRA
81,1,368,27,3,PRT
82,0,364,27,3,GBR
83,1,81,27,3,PRT
84,0,99,27,3,GBR
85,0,324,27,4,GBR
86,0,69,27,4,GBR
87,1,79,27,6,PRT
88,0,12,27,0,GBR
89,0,9,27,0,PRT
90,0,1,27,0,ESP
91,0,21,27,0,PRT
92,0,9,27,0,USA
93,0,109,27,0,BEL
94,1,109,27,0,PRT
95,1,72,27,0,PRT
96,1,63,27,2,PRT
97,0,63,27,2,ESP
98,0,101,27,2,PRT
99,0,102,27,2,DEU
100,0,4,27,2,ESP
101,0,98,27,2,FRA
102,0,92,27,2,FRA
103,0,95,27,2,PRT
104,0,102,27,2,PRT
105,1,26,27,2,PRT
106,1,73,27,2,PRT
107,1,102,27,2,PRT
108,0,115,27,2,PRT
109,0,102,27,2,PRT
110,0,86,27,2,CHE
111,0,78,27,2,PRT
112,0,52,27,2,GBR
113,0,29,27,2,PRT
114,1,101,27,2,PRT
115,0,109,27,2,PRT
116,0,92,27,4,GBR
117,0,92,27,4,PRT
118,0,79,27,4,PRT
119,0,2,27,0,PRT
120,0,30,27,0,PRT
121,1,51,27,0,PRT
122,1,36,27,0,PRT
123,1,73,27,0,PRT
124,1,33,27,0,PRT
125,0,32,27,0,PRT
126,0,8,27,0,ESP
127,0,100,27,1,FRA
128,0,1,27,1,PRT
129,0,100,27,1,FRA
130,0,100,27,1,FRA
131,0,9,28,1,ESP
132,1,5,28,1,PRT
133,0,0,28,1,ESP
134,0,9,28,1,DEU
135,0,2,28,1,PRT
136,0,2,28,1,PRT
137,0,9,28,1,DEU
138,1,5,28,1,PRT
139,0,2,28,1,PRT
140,0,44,28,2,PRT
141,0,80,28,2,FRA
142,0,97,28,2,ESP
143,0,109,28,2,CN
144,0,30,28,2,ESP
145,0,64,28,2,PRT
146,0,39,28,2,ESP
147,0,90,28,2,PRT
148,1,34,28,2,PRT
149,1,93,28,2,PRT
150,0,97,28,2,PRT
151,0,29,28,2,IRL
152,1,101,28,2,PRT
153,0,27,28,2,ESP
154,0,8,28,4,CHE
155,0,82,28,4,PRT
156,0,94,28,4,PRT
157,0,110,28,4,GBR
158,0,96,28,4,GBR
159,0,79,28,4,GBR
